self.title
# bpm =;120;#1/min
# minimum beat =;0.125

# time per measure;2.0;#s
# time per minimum beat;0.25;#s

#measure;#nr minimum beat;#note 1;#duration 1;#note 2;#duration 2;#note 3;#duration 3
1;1;e3;1;b3;1;g3;1
1;2;e3;0;b3;0;g3;0
1;3;e3;1;b3;1;g3;1
1;4;e3;0;b3;0;g3;0
1;5;e3;1;b3;1;g3;1
1;6;e3;1;b3;1;g3;1
1;7;e3;0;b3;0;g3;0
1;8;e3;0;b3;0;g3;0
2;9;g3;0;b3;0;d3;0
2;10;g3;0;b3;0;d3;0
2;11;g3;1;b3;1;d3;1
2;12;g3;0;b3;0;d3;0
2;13;g3;1;b3;1;d3;1
2;14;g3;0;b3;0;d3;0
2;15;g3;0;b3;0;d3;0
2;16;g3;0;b3;0;d3;0
